product_id,name,stock,aisle,price
1,Smart Water Bottle with Hydration Reminder,88,7,39.99
2,LED Desk Light,2,10,34.99
3,Flavored Popcorn Mix,69,1,2.99
4,Portable Grill Cover,25,1,24.99
5,Scent Diffuser,65,4,34.99
6,Fire Roasted Salsa,52,3,2.49
7,Sustainable Wooden Toys,77,6,29.99
8,Weighted Jump Rope with Counter,53,8,14.99
9,Pumpkin Spice Creamer,94,4,3.79
10,Fashionable Belt Bag,44,5,34.99
11,Elegant Lace Dress,25,8,79.99
12,Oven Mitts with Pocket,87,7,19.99
13,Adjustable Garden Rake,12,8,22.99
14,Fishing Tackle Box,48,4,24.99
15,Savory Oats,49,9,2.49
16,Black Olives,3,10,1.99
17,Blackberry Compote,11,7,5.29
18,Travel Jewelry Organizer,18,9,19.99
19,Fleece Hoodie,51,10,39.99
20,Wireless Gaming Mouse,3,5,39.99
21,Sesame Seeds,5,8,1.99
22,Bamboo Toothbrush,82,2,5.99
23,Camping Tarp,55,9,32.99
24,Laptop Sleeve,22,9,24.99
25,Portable Refrigerator Freezer,18,8,299.99
26,Vegetable Lasagna,58,7,6.99
27,Sweet Cherry Tomatoes,20,4,2.99
28,Vintage Button-Down Shirt,41,3,45.99
29,Electric Wine Opener,1,2,29.99
30,Lentil Vegetable Stew,99,7,4.49
31,Thyme,90,1,2.49
32,A-Line Skirt,6,2,35.99
33,Waterproof Rain Boots,1,8,69.99
34,Yoga Mat Carrier,7,10,12.99
35,Sweet Chili Sauce,37,8,2.99
36,Organic Coconut Water,30,10,2.79
37,Spaghetti Sauce,27,9,2.99
38,High-Low Hem Tee,34,3,22.99
39,Harvest Grain Salad,19,3,5.49
40,Smart Wi-Fi Camera,59,7,89.99
41,LED Flashlight with Rechargeable Batteries,96,1,19.99
42,Fitness Tracker,39,3,49.99
43,Safety First Aid Kit,73,3,29.99
44,Outdoor String Lights,68,6,24.99
45,Potato Wedge Seasoning,56,7,2.49
46,Magnetic Puzzle Board,32,7,24.99
47,Adjustable Laptop Desk,54,5,59.99
48,Lemon Zest Olive Oil,50,9,8.99
49,Inflatable Paddle Board,50,1,349.99
50,Spinach and Ricotta Ravioli,36,1,6.49
51,Beach Cover-Up,68,6,29.99
52,Compressed Towel Tablets,77,9,12.99
53,Peach Mango Smoothie,90,2,3.49
54,Nutty Quinoa Salad,36,9,4.99
55,Mixed Berry Smoothie Pack,17,8,5.99
56,Vegan Mac & Cheese,73,8,8.99
57,Fruit Medley Juice,36,1,3.49
58,Adjustable Dumbbells,79,10,249.99
59,Heat-Resistant Silicone Mat,99,3,19.99
60,Pet Hair Vacuum Attachment,30,4,14.99
61,Garlic Butter Sauce,14,9,3.59
62,Dog Car Seat Cover,48,9,39.99
63,Cinnamon Roll Protein Bar,12,8,2.99
64,Sweet Cherry Tomatoes,59,5,2.99
65,Personal Safety Alarm,55,10,12.99
66,Curried Lentil Salad,98,7,4.29
67,Gingerbread House Kit,32,4,6.99
68,Portable Phone Charger,42,10,29.99
69,Baked Mac and Cheese,94,10,5.99
70,Electric Kettle,34,1,39.99
71,Maple Chipotle Glaze,22,9,3.49
72,Sesame Oil,57,6,3.99
73,Essential Oil Diffuser,65,5,34.99
74,Handheld Vacuum,93,2,79.99
75,Egg Noodles,22,6,2.29
76,Herbed Goat Cheese,3,1,5.49
77,Vegan chocolate chip cookies,44,8,4.79
78,Smartphone Projector,46,10,29.99
79,Silicone Baking Cups,33,9,10.99
80,Fruit & Nut Trail Mix,97,2,4.99
81,Children's Educational Puzzle,53,9,19.99
82,Classic Minestrone Soup,22,6,2.99
83,Dog Training Clicker,79,4,5.99
84,Spicy Roasted Nuts,59,3,4.99
85,Organic Tomato Soup,35,5,3.79
86,Wall Planner,11,5,19.99
87,Beef Taco Skillet,99,9,8.49
88,Cheddar Cheese Crackers,38,4,2.29
89,Sunglasses Case,26,7,15.99
90,Berries Medley,25,8,6.99
91,Tomato Paste,46,6,1.29
92,Lemon Herb Quinoa,65,7,3.49
93,Oven Thermometer,50,2,11.99
94,Portable UV Sterilizer,74,3,19.99
95,Wrap Jumpsuit,78,10,54.99
96,Herb Seasoned Croutons,99,4,2.99
97,Garam Masala Spice Blend,41,9,2.79
98,Tennis Racket,80,9,89.99
99,Smartphone UV Sanitizer,44,4,39.99
100,Pet Hair Vacuum Cleaner Attachment,5,5,14.99
101,Pomegranate Juice,54,4,4.49
102,Pesto Pasta Sauce,97,10,3.99
103,Underwater Camera,27,3,199.99
104,Flavored Popcorn Mix,53,6,2.99
105,Fresh Strawberries,41,2,3.99
106,Repair Tool Set for Home Improvement,34,2,29.99
107,Coconut Flakes,86,10,3.29
108,Wireless Mouse,54,7,25.99
109,Patterned Knit Scarf,47,6,25.99
110,Sweet BBQ Dipping Sauce,40,7,3.49
111,Raspberry Vanilla Greek Yogurt,89,5,3.49
112,Almond Butter Granola Bars,30,10,4.99
113,Arcade Game Machine,72,1,299.99
114,Kids' Learning Tablet,57,9,129.99
115,Chocolate Avocado Pudding,35,4,4.99
116,Set of Measuring Spoons,55,2,12.99
117,Desk Lamp with USB Port,88,3,29.99
118,Nutty Trail Mix,76,6,4.29
119,Pet Water Fountain with Filtration,75,5,39.99
120,Plant-Based Cookbook,3,3,29.99
121,Leather Wallet,63,3,49.99
122,Multi-Function Smartphone Holder,0,10,12.99
123,Chocolate Syrup,22,6,2.99
124,Smartphone Tripod,13,3,29.99
125,Magnet Travel Fridge Magnets,5,3,12.99
126,Knitted Infinity Scarf,30,6,29.99
127,Pleated Midi Dress,56,8,79.99
128,Portable Pet Bathing Tool,81,6,29.99
129,Coffee Subscription Service,38,1,29.99
130,Chicken Broth,33,9,2.49
131,Fall-Themed Table Runner,8,7,19.99
132,Travel Laundry Bag,53,4,9.99
133,Personal Blender,10,6,39.99
134,Cinnamon Roll Protein Bar,77,6,2.99
135,Coconut Curry Chicken,97,7,9.99
136,Veggie Burger Patties,3,4,5.99
137,Pet Hair Removal Brush,41,10,14.99
138,Smart Air Purifier,54,4,199.99
139,Herbal Garden Starter Kit,86,7,24.99
140,Almond Quinoa Salad,25,7,5.99
141,Foam Muscle Roller,78,7,24.99
142,Colorful Post-It Notes Set,75,6,9.99
143,Homemade Salsa,19,8,3.79
144,Teriyaki Chicken Stir-Fry,39,5,6.99
145,Measuring Cups Set,81,10,19.99
146,Adjustable Height Standing Desk Converter,40,5,89.99
147,Ginger Turmeric Shots,74,10,3.99
148,Coconut Curry Lentil Soup,75,7,3.99
149,Photo Album,47,2,24.99
150,Low-Fat Cottage Cheese,35,3,2.99
151,Granola Cereal,8,6,4.49
152,Peanut Butter Filled Pretzels,67,9,3.99
153,Electric Blanket,27,2,59.99
154,Apple Juice,1,10,3.29
155,Vegetable Fried Rice Mix,59,5,3.99
156,Tropical Fruit Bowl,51,2,4.99
157,Car Emergency Kit,52,10,49.99
158,Pasta Primavera Kit,84,2,7.49
159,Sketchbook,99,10,14.99
160,Honey-Balsamic Vinaigrette,74,6,3.39
161,Art Supplies Organizer,93,4,18.99
162,Mushroom Soup (canned),97,7,2.49
163,Nature Explorer Lens Kit,51,2,19.99
164,Self-Massaging Pillow,24,8,49.99
165,Portable Jump Starter,81,2,59.99
166,Frozen Berry Blend,50,9,4.99
167,Creamy Avocado Dip,20,2,3.49
168,Chocolate Chip Cliff Bars,66,3,2.49
169,Mini Cordless Vacuum Cleaner,87,8,45.99
170,Party Mini Dress,51,4,69.99
171,Portable Dog Water Bottle,76,10,18.99
172,Pasta (Fusilli),95,4,1.79
173,Avocado Oil,30,2,8.49
174,Cheddar Cheese Crackers,92,3,2.29
175,Suction Cup Hooks,30,9,9.99
176,Spicy Thai Chili Sauce,7,9,3.29
177,Outdoor Camping Lantern,40,10,34.99
178,Peach Preserves,27,7,3.79
179,Strawberry Fruit Spread,71,2,3.59
180,Sweet Potato Tots,20,9,4.29
181,Faux Leather Leggings,36,2,49.99
182,Peach Fruit Cups,17,10,1.99
183,Kids' Dinosaur-Themed Lunchbox,57,10,19.99
184,Cabbage,67,10,1.29
185,Bamboo Utensil Holder,86,2,14.99
186,Veggie Chips Variety Pack,68,9,3.79
187,Golf Polo Shirt,0,1,39.99
188,Caribbean Jerk Marinade,0,8,3.79
189,Chocolate Chip Muffins,99,8,3.99
190,Lemon Lime Sparkling Water,36,9,1.99
191,Blue Denim Jeans,80,6,49.99
192,Vegan Mac & Cheese,78,8,8.99
193,Silicone Wine Glasses,20,2,22.99
194,Non-Slip Yoga Socks,51,6,12.99
195,Travel Mug,47,7,18.99
196,Apple Pie Filling,31,10,3.49
197,Italian Sausage and Peppers,63,9,8.99
198,Honey Graham Crackers,15,9,3.29
199,Crispy Rice Treats,1,7,3.5
200,Strawberry Banana Smoothie Pack,61,7,4.99
201,Coconut Cream Pie Mix,25,7,4.99
202,Sports Water Bottle with Infuser,9,10,19.99
203,Travel Document Organizer,2,9,15.99
204,Honeycrisp Apple Chips,1,8,3.49
205,Chili Beans in Sauce,53,8,1.79
206,Magnetic Chess Set,2,5,19.99
207,Electric Heat Press Machine,92,4,99.99
208,Electric Razor,51,3,59.99
209,Wireless HDMI Transmitter,46,4,79.99
210,Pasta Portion Control Measure,76,10,9.99
211,Beef Enchilada Casserole,65,9,8.99
212,Basic V-Neck T-Shirt,9,10,19.99
213,Coconut Almond Granola,16,10,4.99
214,LED Christmas Lights,100,6,29.99
215,Dog Car Seat Cover,1,6,39.99
216,Compact Electric Kettle,2,5,29.99
217,Maple Cinnamon Granola Bars,37,1,3.49
218,Herb Seasoned Couscous,66,6,2.49
219,Sketchbook,6,5,14.99
220,Cotton Tote Bag Set,19,10,29.99
221,Couscous Mix,43,1,2.49
222,Artisan Cornbread Mix,32,2,2.49
223,Smartphone Projector,89,7,29.99
224,Chili Beans (canned),44,2,1.69
225,Sweet Chili Sauce,12,3,2.99
226,Italian Pasta,72,7,2.29
227,Gardening Tool Belt,56,4,22.99
228,Essential Oil Diffuser,11,1,34.99
229,Oven Mitts with Pocket,40,3,19.99
